blh,type,family,common_name,genus,organism,primer,OTU ,sequences,blh_mix_count,time_period,year,date,region,state,host_plant,BCTV,CPt,S_citri
269,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,8,145,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
269,Tree,Rosaceae,Cherry,Prunus,Prunus avium,ITS,16,422,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
269,Weed,Lamiaceae,Sage,Salvia,Salvia spinosa,ITS,17,4,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
269,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,4,8,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
267,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,trnF,2,2,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
267,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,6,3,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
267,Tree,Rosaceae,Cherry,Prunus,Prunus avium,ITS,147,904,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
267,Tree,Rosaceae,Cherry,Prunus,Prunus transarisanensis,trnF,1,6,5,June,2022,6/7/2022,Royal City,WA,Carrot,1,1,0
261,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,37,299,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,trnF,27,17,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,16,3,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,256,864,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,14,3,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Grass,Poaceae,Bluegrass,Poa,Poa pratensis,ITS,22,2,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola tragus,trnF,112,136,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Grass,Poaceae,Rye,Secale,Secale cereale,ITS,21,2,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Weed,Amaranthaceae,Seepweed,Suaeda,Suaeda corniculata,trnF,32,48,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Weed,Zygophyllaceae,Goathead,Tribulus,Tribulus terrestris,ITS,27,2,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
261,Grass,Poaceae,Wheat,Triticum,Triticum aestivum,ITS,13,3,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
259,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,1027,1701,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
259,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,trnF,15,82,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
259,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,8,5,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
259,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,46,2,5,June,2022,6/21/2022,Royal City,WA,Carrot,1,1,0
258,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,1,9,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
258,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,5,3,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
258,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,5,12,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
258,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,7,2,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
258,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,4,4,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
258,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,6,2,4,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,20,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,4,5,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,5,4,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Weed,Convolvulaceae,Field Bindweed,Convolvulus,Convolvulus arvensis,ITS,6,2,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,8,69,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,3,5,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
248,Weed,Amaranthaceae,Seepweed,Suaeda,Suaeda corniculata,trnF,2,NA,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,1,21,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,6,4,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,8,2,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,7,3,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,6,28,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,3,12,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
246,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,5,5,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
243,Weed,Amaranthaceae,Seepweed,Suaeda,Suaeda corniculata,trnF,2,,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Weed,Asteraceae,Yarrow,Achillea,Achillea millefolium,ITS,9,3,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,2,21,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,5,4,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,10,3,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,12,2,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,37,399,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
242,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,3,13,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,4,7,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Crop,Amaranthaceae,Beet,Beta,Beta vulgaris,ITS,6,4,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,8,4,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,12,2,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,23,233,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,17,397,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
237,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,5,6,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
232,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,2,6,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
232,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,10,5,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
232,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,8,7,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
232,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,1,6,5,June,2022,6/30/2022,Royal City,WA,Carrot,1,1,0
230,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,43,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,9,220,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,5,4,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,9,2,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,4,24,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,6,3,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,7,3,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
230,Weed,Zygophyllaceae,Goathead,Tribulus,Tribulus terrestris,ITS,3,30,5,July,2022,7/20/2022,Royal City,WA,Carrot,1,1,0
228,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,39,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
228,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,4,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
228,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,4,174,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
228,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,5,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
227,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,10,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,4,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,2,6,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,11,6,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,3,5,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,7,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,11,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,1,27,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,12,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
227,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,17,6,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
222,Tree,Betulaceae,Alder,Alnus,Alnus maximowiczii,ITS,2,5,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,1,63,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,8,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,7,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Grass,Poaceae,Barnyard grass,Echinochloa,Echinochloa oryzoides,ITS,4,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Grass,Poaceae,Quackgrass,Elymus,Elymus repens,ITS,5,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,3,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
222,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,6,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,3,42,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Crop,Brassicaceae,Canola,Brassica,Brassica napus,ITS,14,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Mustard,Brassicaceae,Wild cabbage,Brassica,Brassica oleracea,ITS,15,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,5,25,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Weed,Asteraceae,Fleabane,Erigeron,Erigeron leptorhizon,ITS,20,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,9,9,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,6,22,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,19,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,1,50,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,8,10,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,21,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Nightshade,Solanaceae,Nightshade,Solanum,Solanum neorossii,trnF,2,NA,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,6,85,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,71,39,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Tree,Pinaceae,Hemlock,Tsuga,Tsuga chinensis,ITS,33,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
221,Tree,Pinaceae,Hemlock,Tsuga,Tsuga chinensis,ITS,38,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,74,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,8,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,5,5,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Grass,Poaceae,Barnyard grass,Echinochloa,Echinochloa oryzoides,ITS,8,408,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,6,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
220,Grass,Poaceae,Foxtail millet,Setaria,Setaria italica,ITS,7,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,3,37,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,8,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Grass,Poaceae,Crabgrass,Digitaria,Digitaria ciliaris,ITS,9,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Grass,Poaceae,Ryegrass,Lolium,Lolium saxatile,ITS,6,8,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,2,44,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,5,8,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Grass,Poaceae,Foxtail millet,Setaria,Setaria italica,ITS,7,5,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,138,188,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
218,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,12,3,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
217,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,1,14,4,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
217,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,3,3,4,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
217,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,2,5,4,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
216,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,9,149,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,11,2,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Grass,Poaceae,Barnyard grass,Echinochloa,Echinochloa oryzoides,ITS,4,7,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Grass,Poaceae,Ryegrass,Lolium,Lolium saxatile,ITS,6,4,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,3,20,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,5,5,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Grass,Poaceae,Foxtail millet,Setaria,Setaria italica,ITS,9,2,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,21,54,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
216,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,10,2,6,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,1
215,Crop,Apiaceae,Dill,Anethum,Anethum graveolens,ITS,1,82,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,4,25,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,3,29,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Weed,Apiaceae,Hemlock,Cicuta,Cicuta virosa,ITS,2,38,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,16,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Grass,Poaceae,Barnyard grass,Echinochloa,Echinochloa oryzoides,ITS,7,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Grass,Poaceae,Ryegrass,Lolium,Lolium saxatile,ITS,23,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,5,18,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,8,6,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,35,19,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,19,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
215,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,13,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
214,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,8,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
214,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,6,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
214,Weed,Plantaginaceae,Plantain,Plantago,Plantago lanceolata,ITS,3,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
214,Weed,Sarcobataceae,Greasewood,Sarcobatus,Sarcobatus vermiculatus,ITS,5,13,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
214,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum,ITS,5,2,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
211,Weed,Amaranthaceae,Licorice plant,Blitum,Blitum petiolare,ITS,2,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
211,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,5,4,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
211,Grass,Poaceae,Ryegrass annual,Lolium,Lolium rigidum,ITS,3,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
211,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium loeselii,ITS,4,7,5,June,2022,6/30/2022,Prosser,WA,Cannabis,1,1,0
