Type,Family,Common,Genus,BLH,BLTVA,BCTV,BarCode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant,Year
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,46,1,0,trnF,bc1111--bc1175,Salsola collina,269,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Tree,Juglandaceae,English walnut,Juglans,11,0,0,trnF,bc1103--bc1114,Juglans regia,16,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Tree,Rosaceae,peach,Prunus,41,0,1,ITS,bc1146--bc1191,Prunus persica,31,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Tree,Fabaceae,Black Locust,Robinia,217,0,1,ITS,bc1140--bc1153,Robinia pseudoacacia,68,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Tree,Malvaceae,Linden,Tilia,217,0,1,ITS,bc1140--bc1153,Tilia x,2,"Wednesday, June 3, 2020",Early June,Moxee,A,Flixweed,2020
Tree,Ulmaceae,Elm,Ulmus,46,1,0,ITS,bc1146--bc1173,Ulmus pumila,2,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Amaryllidaceae,Wild onion,Allium,37,0,1,ITS,bc1146--bc1172,Allium pskemense,493,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Asteraceae,Ragweed,Ambrosia,12,0,0,ITS,bc1150--bc1191,Ambrosia acanthicarpa,18,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,46,1,0,trnF,bc1111--bc1175,Chenopodium album,7,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Convolvulaceae,Field bindweed,Convolvulus,39,1,1,trnF,bc1106--bc1109,Convolvulus arvensis,13,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Asteraceae,Coneflower,Echinacea,12,0,0,trnF,bc1103--bc1120,Echinacea purpurea,4,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Weed,Asteraceae,Horseweed,Erigeron,39,1,1,trnF,bc1106--bc1109,Erigeron canadensis,47,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Asteraceae,Fleabane,Erigeron,39,1,1,ITS,bc1146--bc1190,Erigeron leptorhizon,15,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Asteraceae,Prickly Lettuce,Lactuca,41,0,1,ITS,bc1146--bc1191,Lactuca serriola,26,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Malvaceae,Mallow,Malva,39,1,1,ITS,bc1146--bc1190,Malva parviflora,3,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Malvaceae,Mallow,Malva,46,1,0,ITS,bc1146--bc1173,Malva parviflora,3,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Fabaceae,lima bean,Phaseolus,37,0,1,ITS,bc1146--bc1172,Phaseolus lunatus,139,"Monday, May 18, 2020",Late May,Mattawa,B,Flixweed,2020
Weed,Asteraceae,Goldernrod,Solidago,12,0,0,trnF,bc1103--bc1120,Solidago canadensis,5,"Thursday, April 23, 2020",Late April,Moxee,A,Flixweed,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,190,1,0,ITS,bc1153--bc1171,Cannabis sativa,3,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,193,0,1,ITS,bc1153--bc1172,Cannabis sativa,61,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Crop,Amaranthaceae,Beet,Beta,671,1,0,trnF,bc1105--bc1177,Beta vulgaris,2,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Crop,Apiaceae,carrot,Daucus,509,0,0,ITS,bc1133--bc1191,Daucus carota,2,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Crop,Asteraceae,garden lettuce,Lactuca,582,0,1,trnF,bc1175--bc1176,Lactuca sativa,4,"Wednesday, July 15, 2020",Late July,Othello,E,Kochia,2020
Crop,Asteraceae,garden lettuce,Lactuca,626,0,0,trnF,bc1142--bc1176,Lactuca sativa,6,"Wednesday, August 12, 2020",Early August,Moxee,A,Kochia,2020
Crop,Fabaceae,Pea,Pisum,671,1,0,ITS,bc1123--bc1173,Pisum sativum,10,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Crop,Solanaceae,Tomato,Solanum,99,0,1,ITS,bc1140--bc1146,Solanum lycopersicum,2,"Monday, May 18, 2020",Late May,Mattawa,C,Kochia,2020
Crop,Solanaceae,Tomato,Solanum,671,1,0,ITS,bc1123--bc1173,Solanum lycopersicum,67,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Crop,Solanaceae,Wild Tomato,Solanum,671,1,0,ITS,bc1123--bc1173,Solanum pennellii,78,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Grass,Poaceae,rye,Secale,190,1,0,ITS,bc1153--bc1171,Secale cereale,2,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,472,1,0,trnF,bc1113--bc1144,Bassia littorea,14,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,663,0,0,trnF,bc1103--bc1177,Bassia littorea,253,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,788,0,1,trnF,bc1107--bc1177,Bassia littorea,9,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,127,0,0,trnF,bc1110--bc1169,Bassia littorea,311,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,190,1,0,trnF,bc1107--bc1120,Bassia littorea,2,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,193,0,1,trnF,bc1107--bc1109,Bassia littorea,11,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,391,1,0,trnF,bc1114--bc1143,Bassia littorea,,"Friday, June 12, 2020",Early June,Pasco,N,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,508,0,1,trnF,bc1105--bc1113,Bassia littorea,100,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,582,0,1,trnF,bc1175--bc1176,Bassia littorea,10,"Wednesday, July 15, 2020",Late July,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,626,0,0,trnF,bc1142--bc1176,Bassia littorea,30,"Wednesday, August 12, 2020",Early August,Moxee,A,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,671,1,0,trnF,bc1105--bc1177,Bassia littorea,261,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,786,0,1,trnF,bc1175--bc1177,Bassia littorea,42,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,787,1,0,trnF,bc1169--bc1177,Bassia littorea,93,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,827,0,1,trnF,bc1142--bc1177,Bassia littorea,16,"Friday, October 2, 2020",Early October,Moxee,A,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,28,0,0,ITS,bc1146--bc1171,Bassia scoparia,5,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,99,0,1,ITS,bc1140--bc1146,Bassia scoparia,3334,"Monday, May 18, 2020",Late May,Mattawa,C,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,127,0,0,ITS,bc1152--bc1173,Bassia scoparia,207,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,190,1,0,ITS,bc1153--bc1171,Bassia scoparia,2420,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,193,0,1,ITS,bc1153--bc1172,Bassia scoparia,377,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Kochia,Amaranthaceae,Kochia,Bassia,508,0,1,ITS,bc1133--bc1190,Bassia scoparia,93,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,28,0,0,ITS,bc1146--bc1171,Brassica carinata,4,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,28,0,0,ITS,bc1146--bc1171,Descurainia sophia,25,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,99,0,1,ITS,bc1140--bc1146,Descurainia sophia,2,"Monday, May 18, 2020",Late May,Mattawa,C,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,127,0,0,ITS,bc1152--bc1173,Descurainia sophia,2,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,190,1,0,ITS,bc1153--bc1171,Descurainia sophia,6,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,193,0,1,ITS,bc1153--bc1172,Descurainia sophia,2,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Nightshade,Solanaceae,Clammy Groundcherry,Physalis,663,0,0,trnF,bc1103--bc1177,Physalis heterophylla,2,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Nightshade,Solanaceae,Nightshade,Solanum,23,0,0,trnF,bc1099--bc1106,Solanum gourlayi,9,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Nightshade,Solanaceae,Nightshade,Solanum,193,0,1,trnF,bc1107--bc1109,Solanum gourlayi,2,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Nightshade,Solanaceae,Nightshade,Solanum,476,1,0,trnF,bc1114--bc1144,Solanum gourlayi,11,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Nightshade,Solanaceae,Nightshade,Solanum,671,1,0,trnF,bc1105--bc1177,Solanum gourlayi,2,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Nightshade,Solanaceae,Bitter,Solanum,193,0,1,trnF,bc1107--bc1109,Solanum gracilifrons,4,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,99,0,1,ITS,bc1140--bc1146,Solanum pinnatisectum,4,"Monday, May 18, 2020",Late May,Mattawa,C,Kochia,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,127,0,0,ITS,bc1152--bc1173,Solanum pinnatisectum,145,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,190,1,0,ITS,bc1153--bc1171,Solanum pinnatisectum,689,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,508,0,1,ITS,bc1133--bc1190,Solanum pinnatisectum,2,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Nightshade,Solanaceae,tansyleaf nightshade,Solanum,671,1,0,ITS,bc1123--bc1173,Solanum pinnatisectum,226,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Potato,Solanaceae,potato,Solanum,472,1,0,trnF,bc1113--bc1144,Solanum tuberosum,16,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Potato,Solanaceae,potato,Solanum,788,0,1,trnF,bc1107--bc1177,Solanum tuberosum,25,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Potato,Solanaceae,potato,Solanum,23,0,0,trnF,bc1099--bc1106,Solanum tuberosum,284,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Potato,Solanaceae,potato,Solanum,127,0,0,trnF,bc1110--bc1169,Solanum tuberosum,70,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Potato,Solanaceae,potato,Solanum,190,1,0,trnF,bc1107--bc1120,Solanum tuberosum,103,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Potato,Solanaceae,potato,Solanum,193,0,1,trnF,bc1107--bc1109,Solanum tuberosum,87,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Potato,Solanaceae,potato,Solanum,470,1,1,trnF,bc1111--bc1144,Solanum tuberosum,,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Potato,Solanaceae,potato,Solanum,471,0,1,trnF,bc1112--bc1144,Solanum tuberosum,6,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Potato,Solanaceae,potato,Solanum,476,1,0,trnF,bc1114--bc1144,Solanum tuberosum,829,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Potato,Solanaceae,potato,Solanum,507,0,0,trnF,bc1105--bc1111,Solanum tuberosum,,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Potato,Solanaceae,potato,Solanum,508,0,1,trnF,bc1105--bc1113,Solanum tuberosum,12,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Potato,Solanaceae,potato,Solanum,557,1,1,trnF,bc1107--bc1112,Solanum tuberosum,2,"Wednesday, July 1, 2020",Early July,Mattawa,D,Kochia,2020
Potato,Solanaceae,potato,Solanum,582,0,1,trnF,bc1175--bc1176,Solanum tuberosum,3,"Wednesday, July 15, 2020",Late July,Othello,E,Kochia,2020
Potato,Solanaceae,potato,Solanum,671,1,0,ITS,bc1123--bc1173,Solanum tuberosum,68,"Wednesday, August 12, 2020",Early August,Othello,G,Kochia,2020
Potato,Solanaceae,potato,Solanum,787,1,0,trnF,bc1169--bc1177,Solanum tuberosum,34,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,28,0,0,ITS,bc1146--bc1171,Kali turgidum,11,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,127,0,0,ITS,bc1152--bc1173,Kali turgidum,12,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,190,1,0,ITS,bc1153--bc1171,Kali turgidum,29,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,508,0,1,ITS,bc1133--bc1190,Kali turgidum,3,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,509,0,0,ITS,bc1133--bc1191,Kali turgidum,181,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Prickly Russian thistle,Kali,827,0,1,ITS,bc1124--bc1172,Kali turgidum,646,"Friday, October 2, 2020",Early October,Moxee,A,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,788,0,1,trnF,bc1107--bc1177,Salsola collina,2,"Thursday, August 27, 2020",Late August,Othello,E,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,28,0,0,trnF,bc1106--bc1114,Salsola collina,446,"Monday, May 18, 2020",Late May,Moxee,A,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,127,0,0,trnF,bc1110--bc1169,Salsola collina,8,"Monday, May 18, 2020",Late May,Othello,F,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,190,1,0,trnF,bc1107--bc1120,Salsola collina,6,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,193,0,1,trnF,bc1107--bc1109,Salsola collina,36,"Wednesday, May 27, 2020",Late May,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,471,0,1,trnF,bc1112--bc1144,Salsola collina,4,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,476,1,0,trnF,bc1114--bc1144,Salsola collina,2,"Wednesday, June 17, 2020",Late June,Othello,F,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,509,0,0,trnF,bc1105--bc1114,Salsola collina,480,"Thursday, June 25, 2020",Late June,Pasco,M,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,557,1,1,trnF,bc1107--bc1112,Salsola collina,376,"Wednesday, July 1, 2020",Early July,Mattawa,D,Kochia,2020
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,626,0,0,trnF,bc1142--bc1176,Salsola collina,6,"Wednesday, August 12, 2020",Early August,Moxee,A,Kochia,2020
