Type,Family,Common,Genus,BLH,BLTVA ,BCTV,BarCode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant,Year
Crop,Asteraceae,garden lettuce,Lactuca,11,0,0,trnF,bc1105--bc1110,Lactuca sativa,4,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,11,0,0,trnF,bc1105--bc1110,Bromus sterilis,36,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,11,0,0,trnF,bc1105--bc1110,Bassia littorea,137,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,11,0,0,trnF,bc1105--bc1110,Sisymbrium altissimum,56,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Mediterranean barley,Hordeum,12,0,0,trnF,bc1099--bc1106,Hordeum marinum,5,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,12,0,0,trnF,bc1099--bc1106,Bassia littorea,356,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,12,0,0,trnF,bc1099--bc1106,Sisymbrium altissimum,114,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,15,0,0,trnF,bc1106--bc1120,Bassia littorea,1211,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,16,0,0,trnF,bc1106--bc1109,Lactuca sativa,2,"Tuesday, March 23, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,17,0,0,trnF,bc1106--bc1110,Bromus sterilis,25,"Tuesday, March 23, 2021",Late March,Othello,Othello farm,Flixweed,2021
Potato,Solanaceae,potato,Solanum,17,0,0,trnF,bc1106--bc1110,Solanum tuberosum,23,"Tuesday, March 23, 2021",Late March,Othello,Othello farm,Flixweed,2021
Crop,Fabaceae,cowpea,Vigna,26,0,0,trnF,bc1112--bc1175,Vigna unguiculata,4,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Flixweed,Descurainia,26,0,0,trnF,bc1112--bc1175,Descurainia sophia,2,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,26,0,0,trnF,bc1112--bc1175,Sisymbrium altissimum,2,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,26,0,0,trnF,bc1112--bc1175,Salsola collina,4,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Grass,Poaceae,Poverty Brome,Bromus,32,0,0,trnF,bc1114--bc1175,Bromus sterilis,10,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Flixweed,Descurainia,32,0,0,trnF,bc1114--bc1175,Descurainia sophia,3,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,32,0,0,trnF,bc1114--bc1175,Sisymbrium altissimum,68,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,32,0,0,trnF,bc1120--bc1175,Salsola collina,11,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Tree,Pinaceae,Japanese Red Pine,Pinus,32,0,0,trnF,bc1114--bc1175,Pinus densiflora,2,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Crop,Fabaceae,cowpea,Vigna,44,1,0,trnF,bc1109--bc1175,Vigna unguiculata,4,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Grass,Poaceae,Mediterranean barley,Hordeum,44,1,0,trnF,bc1109--bc1175,Hordeum brevisubulatum,6,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,44,1,0,trnF,bc1109--bc1175,Sisymbrium altissimum,4,"Tuesday, March 30, 2021",Late March,Moxee,Moxee farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,58,0,0,trnF,bc1113--bc1169,Bassia littorea,9,"Tuesday, March 30, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,58,0,0,trnF,bc1113--bc1169,Sisymbrium altissimum,63,"Tuesday, March 30, 2021",Late March,Pasco,Pasco farm,Tumble mustard,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,70,0,0,trnF,bc1110--bc1169,Salsola collina,12,"Tuesday, April 6, 2021",Early April,Moxee,Moxee farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,76,0,0,trnF,bc1097--bc1107,Bassia littorea,5,"Tuesday, April 6, 2021",Early April,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,76,0,0,trnF,bc1097--bc1107,Sisymbrium altissimum,4,"Tuesday, April 6, 2021",Early April,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,88,1,0,ITS,bc1140--bc1152,Sisymbrium altissimum,18,"Tuesday, April 13, 2021",Early April,Pasco,Pasco farm,Tumble mustard,2021
Crop,Apiaceae,carrot,Daucus,89,0,,trnF,bc1107--bc1114,Daucus carota,2,"Tuesday, April 13, 2021",Early April,Othello,Othello farm,Flixweed,2021
Crop,Fabaceae,cowpea,Vigna,89,0,,trnF,bc1107--bc1114,Vigna unguiculata,5,"Tuesday, April 13, 2021",Early April,Othello,Othello farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,89,0,,trnF,bc1107--bc1114,Bassia littorea,2,"Tuesday, April 13, 2021",Early April,Othello,Othello farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,89,0,,trnF,bc1107--bc1114,Sisymbrium altissimum,7,"Tuesday, April 13, 2021",Early April,Othello,Othello farm,Flixweed,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,89,0,,trnF,bc1107--bc1114,Convolvulus arvensis,2,"Tuesday, April 13, 2021",Early April,Othello,Othello farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,96,0,1,trnF,bc1107--bc1109,Sisymbrium altissimum,6,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Potato,Solanaceae,potato,Solanum,96,0,1,trnF,bc1107--bc1109,Solanum tuberosum,28,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,97,1,1,trnF,bc1107--bc1110,Lactuca sativa,7,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,97,1,1,trnF,bc1107--bc1110,Sisymbrium altissimum,34,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Tree,Fabaceae,Japanese pagoda tree,Styphnolobium,97,1,1,trnF,bc1107--bc1110,Styphnolobium japonicum,7,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,98,0,0,trnF,bc1097--bc1108,Lactuca sativa,3,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,98,0,0,trnF,bc1097--bc1108,Bassia littorea,319,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,98,0,0,trnF,bc1097--bc1108,Sisymbrium altissimum,133,"Tuesday, April 20, 2021",Late April,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,99,0,1,trnF,bc1108--bc1111,Lactuca sativa,2,"Tuesday, April 20, 2021",Late April,Othello,Othello farm,Flixweed,2021
Grass,Poaceae,Poverty Brome,Bromus,99,0,1,trnF,bc1108--bc1111,Bromus sterilis,6,"Tuesday, April 20, 2021",Late April,Othello,Othello farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,99,0,1,trnF,bc1108--bc1111,Salsola collina,63,"Tuesday, April 20, 2021",Late April,Othello,Othello farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,103,1,1,trnF,bc1108--bc1112,Salsola collina,19,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Crop,Solanaceae,Tomato,Solanum,108,1,1,trnF,bc1108--bc1109,Solanum lycopersicum,2,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,108,1,1,trnF,bc1108--bc1109,Bassia littorea,2,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tall mustard,Sisymbrium,108,1,1,trnF,bc1108--bc1109,Sisymbrium loeselii,2,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Weed,Asteraceae,Prickly Lettuce,Lactuca,108,1,1,trnF,bc1108--bc1109,Lactuca serriola,2,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,118,0,1,trnF,bc1097--bc1142,Sisymbrium altissimum,2,"Tuesday, April 20, 2021",Late April,Moxee,Moxee farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,136,0,0,trnF,bc1097--bc1143,Salsola collina,14,"Tuesday, April 27, 2021",Late April,Moxee,Moxee farm,Blue mustard,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,170,0,0,trnF,bc1112--bc1143,Salsola collina,6,"Tuesday, May 4, 2021",Early May,Moxee,Moxee farm,Flixweed,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,178,0,0,trnF,bc1109--bc1143,Sisymbrium altissimum,54,"Tuesday, May 4, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Potato,Solanaceae,potato,Solanum,178,0,0,trnF,bc1109--bc1143,Solanum tuberosum,29,"Tuesday, May 4, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,179,0,1,trnF,bc1110--bc1143,Sisymbrium altissimum,2,"Tuesday, May 4, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,193,0,0,trnF,bc1100--bc1144,Sisymbrium altissimum,,"Tuesday, May 11, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Crop,Asteraceae,garden lettuce,Lactuca,203,0,0,trnF,bc1111--bc1144,Lactuca sativa,13,"Tuesday, May 11, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,203,0,0,trnF,bc1111--bc1144,Sisymbrium altissimum,6,"Tuesday, May 11, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,203,0,0,trnF,bc1111--bc1144,Convolvulus arvensis,6,"Tuesday, May 11, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Weed,Asteraceae,Prickly Lettuce,Lactuca,203,0,0,trnF,bc1111--bc1144,Lactuca serriola,13,"Tuesday, May 11, 2021",Early May,Moxee,Moxee farm,Kochia,2021
Crop,Fabaceae,cowpea,Vigna,204,0,0,trnF,bc1112--bc1144,Vigna unguiculata,3,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Grass,Poaceae,Poverty Brome,Bromus,204,0,0,trnF,bc1112--bc1144,Bromus sterilis,2,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,204,0,0,trnF,bc1112--bc1144,Sisymbrium altissimum,4,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Mustard,Brassicaceae,Tall mustard,Sisymbrium,204,0,0,trnF,bc1112--bc1144,Sisymbrium loeselii,2,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Potato,Solanaceae,potato,Solanum,204,0,0,trnF,bc1112--bc1144,Solanum tuberosum,5,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Tree,Rosaceae,Apple,Malus,204,0,0,trnF,bc1112--bc1144,Malus x,2,"Tuesday, May 11, 2021",Early May,Othello,Othello farm,Kochia,2021
Crop,Fabaceae,cowpea,Vigna,205,0,0,trnF,bc1113--bc1144,Vigna unguiculata,7,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Kochia,2021
Kochia,Amaranthaceae,Kochia,Bassia,205,0,0,trnF,bc1113--bc1144,Bassia scoparia,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,205,0,0,trnF,bc1113--bc1144,Sisymbrium altissimum,7,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Kochia,2021
Potato,Solanaceae,potato,Solanum,205,0,0,trnF,bc1113--bc1144,Solanum tuberosum,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Kochia,2021
Kochia,Amaranthaceae,Kochia,Bassia,206,0,1,trnF,bc1114--bc1144,Bassia littorea,42,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Flixweed,Descurainia,206,0,1,trnF,bc1114--bc1144,Descurainia sophia,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,206,0,1,trnF,bc1114--bc1144,Sisymbrium altissimum,533,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,206,0,1,ITS,bc1135--bc1161,Sisymbrium altissimum,362,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Fabaceae,cowpea,Vigna,248,1,1,trnF,bc1109--bc1144,Vigna unguiculata,5,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,248,1,1,trnF,bc1109--bc1144,Bassia littorea,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Blue mustard,Chorispora,248,1,1,trnF,bc1109--bc1144,Chorispora tenella,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,248,1,1,trnF,bc1109--bc1144,Sisymbrium altissimum,7,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,248,1,1,trnF,bc1109--bc1144,Convolvulus arvensis,2,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Fabaceae,cowpea,Vigna,253,1,1,trnF,bc1110--bc1144,Vigna unguiculata,4,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,253,1,1,trnF,bc1110--bc1144,Bassia littorea,3,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,unknown,Pseudofortuynia,253,1,1,trnF,bc1110--bc1144,Pseudofortuynia leucoclada,3,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,253,1,1,trnF,bc1110--bc1144,Sisymbrium altissimum,4,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Fabaceae,cowpea,Vigna,254,0,0,trnF,bc1103--bc1176,Vigna unguiculata,5,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,254,0,0,trnF,bc1103--bc1176,Bromus sterilis,5,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,254,0,0,trnF,bc1103--bc1176,Bassia littorea,3,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,unknown,Pseudofortuynia,254,0,0,trnF,bc1103--bc1176,Pseudofortuynia leucoclada,3,"Tuesday, May 11, 2021",Early May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,292,0,0,trnF,bc1105--bc1176,Lactuca sativa,118,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Kochia,Amaranthaceae,Kochia,Bassia,292,0,0,trnF,bc1105--bc1176,Bassia littorea,3,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Crop,Asteraceae,garden lettuce,Lactuca,295,1,0,trnF,bc1106--bc1176,Lactuca sativa,420,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Grass,Poaceae,Poverty Brome,Bromus,295,1,0,trnF,bc1106--bc1176,Bromus sterilis,3,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Kochia,Amaranthaceae,Kochia,Bassia,295,1,0,trnF,bc1106--bc1176,Bassia littorea,2,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,295,1,0,trnF,bc1106--bc1176,Sisymbrium altissimum,9,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Kochia,2021
Crop,Fabaceae,cowpea,Vigna,320,0,0,trnF,bc1107--bc1176,Vigna unguiculata,6,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,320,0,0,trnF,bc1107--bc1176,Bromus sterilis,6,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,320,0,0,trnF,bc1107--bc1176,Bassia littorea,6,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Tumble mustard,2021
Mustard,Brassicaceae,Flixweed,Descurainia,320,0,0,trnF,bc1107--bc1176,Descurainia sophia,4,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Tumble mustard,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,320,0,0,trnF,bc1107--bc1176,Convolvulus arvensis,2,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,321,0,1,trnF,bc1108--bc1176,Bromus sterilis,8,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Grass,Poaceae,Wheatgrass,Elymus,321,0,1,trnF,bc1108--bc1176,Elymus magellanicus,21,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Kochia,Amaranthaceae,Kochia,Bassia,321,0,1,trnF,bc1108--bc1176,Bassia littorea,135,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,321,0,1,trnF,bc1108--bc1176,Salsola collina,1120,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Tree,Rutaceaae,Amanatsu,Citrus,321,0,1,trnF,bc1108--bc1176,Citrus natsudaidai,18,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Tree,Rosaceae,Apple,Malus,321,0,1,trnF,bc1108--bc1176,Malus x,5,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Weed,Plantaginaceae,plantain,Plantago,321,0,1,trnF,bc1108--bc1176,Plantago lanceolata,34,"Tuesday, May 18, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
Potato,Solanaceae,potato,Solanum,326,0,1,trnF,bc1142--bc1176,Solanum tuberosum,28,"Tuesday, May 18, 2021",Late May,Othello,Othello farm,Kochia,2021
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,326,0,1,trnF,bc1142--bc1176,Salsola collina,72,"Tuesday, May 18, 2021",Late May,Othello,Othello farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,330,1,0,ITS,bc1124--bc1160,Sisymbrium altissimum,798,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Crop,Asteraceae,garden lettuce,Lactuca,339,0,0,trnF,bc1103--bc1177,Lactuca sativa,20,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Crop,Solanaceae,Tomato,Solanum,339,0,0,trnF,bc1103--bc1177,Solanum lycopersicum,9,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Kochia,Amaranthaceae,Kochia,Bassia,339,0,0,trnF,bc1103--bc1177,Bassia littorea,19,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,339,0,0,ITS,bc1124--bc1161,Sisymbrium altissimum,53,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Weed,Asteraceae,Goats beard,Tragopogon,339,0,0,trnF,bc1103--bc1177,Tragopogon pratensis,15,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Kochia,2021
Crop,Asteraceae,garden lettuce,Lactuca,340,0,1,trnF,bc1105--bc1177,Lactuca sativa,4,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Tumble mustard,2021
Grass,Poaceae,Poverty Brome,Bromus,340,0,1,trnF,bc1105--bc1177,Bromus sterilis,193,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Tumble mustard,2021
Kochia,Amaranthaceae,Kochia,Bassia,340,0,1,trnF,bc1105--bc1177,Bassia littorea,15,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Tumble mustard,2021
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,340,0,1,ITS,bc1124--bc1162,Sisymbrium altissimum,32,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Tumble mustard,2021
Potato,Solanaceae,potato,Solanum,340,0,1,trnF,bc1105--bc1177,Solanum tuberosum,2,"Tuesday, May 18, 2021",Late May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Asteraceae,garden lettuce,Lactuca,365,0,0,trnF,bc1106--bc1177,Lactuca sativa,5,"Wednesday, May 26, 2021",Late May,Moxee,Moxee farm,Flixweed,2021
