Type,Family,Common,Genus,BLH ,BLTVA,BCTV,Barcode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant ,Year
Weed,Brassicaceae,Wild cabbage/Kale,Brassica,18,1,0,ITS,bc1124--bc1140,Brassica oleracea,2,"Monday, June 3, 2019",Early June,Mattawa ,RDJ,Russian thistle,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,19,0,1,ITS,bc1140--bc1150,Cannabia sativa,724,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Grass,Poaceae,Cheatgrass,Bromus,19,0,1,ITS,bc1140--bc1150,Bromus tectorum,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,19,0,1,ITS,bc1140--bc1150,Amaranthus hybridus,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Shrub,Rosaceae,Japanese Photinia,Photinia,19,0,1,ITS,bc1140--bc1150,Photinia glabra,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Tree,Fagaceae,Oak,Quercus,19,0,1,ITS,bc1140--bc1150,Quercus robur,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Weed,Asteraceae,Horseweed,Erigeron,19,0,1,ITS,bc1140--bc1150,Erigeron canadensis,13,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,20,0,0,ITS,bc1140--bc1146,Cannabis sativa,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Crop,Solanaceae,Tomato,Solanum,20,0,0,ITS,bc1140--bc1146,Solanum lycopersicum,83,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Nightshade,Solanaceae,Tansyleaf Nightshade,Solanum,20,0,0,ITS,bc1140--bc1146,Solanum pinnatisectum,206,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,20,0,0,ITS,bc1140--bc1146,Kali turgidum,5,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Tree,Sapindaceae,Red maple,Acer,20,0,0,ITS,bc1140--bc1146 ,Acer rubrum,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Tree,Fagaceae,Oak,Quercus,20,0,0,ITS,bc1140--bc1146,Quercus sp.,26,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Tree,Malvaceae,Linden,Tilia,20,0,0,ITS,bc1140--bc1146,Tilia x,11,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Weed,Asteraceae,Common sandaster or California Aster,Corethrogyne,20,0,0,ITS,bc1140--bc1146,Corethrogyne filaginifolia,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Potato,2019
Crop,Brassicaceae,Radish,Raphanus,28,1,1,ITS,bc1146--bc1155,Raphanus sativus,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Mustard,2019
Crop,Brassicaceae,Radish,Raphanus,28,1,1,trnF,bc1097--bc1142,Raphanus sativus,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Mustard,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,28,1,1,ITS,bc1146--bc1155,Brassica carinata,315,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Mustard,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,28,1,1,ITS,bc1146--bc1155,Kali turgidum,77,"Wednesday, June 12, 2019",Early June,Mattawa ,RDR,Mustard,2019
Crop,Asteraceae,Lettuce,Lactuca,33,0,0,trnF,bc1108--bc1178,Lactuca sativa,42,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Solanaceae,Common Tobacco,Nicotiana,33,0,0,ITS,bc1152--bc1155,Nicotiana tabacum,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Brassicaceae,Radish,Raphanus,33,0,0,ITS,bc1152--bc1155,Raphanus sativus,10,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Solanaceae,Tomato,Solanum,33,0,0,ITS,bc1152--bc1155,Solanum lycopersicum,25,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Kochia,Amaranthaceae,Kochia scoparia,Bassia,33,0,0,ITS,bc1152--bc1155,Bassia scoparia,7,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,33,0,0,ITS,bc1152--bc1155,Brassica carinata,323,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,33,0,0,ITS,bc1152--bc1155,Chorispora tenella,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,33,0,0,ITS,bc1152--bc1155,Descurainia sophia,5,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Tumble Mustard,Sisymbrium altissimum,33,0,0,trnF,bc1108--bc1178,Sisymbrium altissimum,13,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Nightshade,Solanaceae,Black Henbane,Hyoscyamus,33,0,0,ITS,bc1152--bc1155,Hyoscyamus niger,5,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Nightshade,Solanaceae,Bittersweet Nightshade,Solanum,33,0,0,trnF,bc1108--bc1178,Solanum dulcamara,10,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Potato,Solanaceae,Potato,Solanum,33,0,0,trnF,bc1108--bc1178,Solanum tuberosum,12,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,33,0,0,ITS,bc1152--bc1155,Kali turgidum,41,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,33,0,0,trnF,bc1108--bc1178,Salsola komarovii,72,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Tree,Rutaceae,Bitter orange or Seville orange,Citrus,33,0,0,trnF,bc1108--bc1178,Citrus aurantium,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Tree,Morceae,Himalyan Mulberry,Morus,33,0,0,trnF,bc1108--bc1178,Morus serrata,25,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Boraginaceae,Common fiddleneck(Menzie's),Amsinckia,33,0,0,ITS,bc1152--bc1155,Amsinckia menziesii,6,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Artemisia Yin Chen Hao,Artemisia,33,0,0,trnF,bc1108--bc1178,Artemisia capillaris,8,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Common sandaster or California Aster,Corethrogyne,33,0,0,ITS,bc1152--bc1155,Corethrogyne filaginifolia,8,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Horseweed,Erigeron,33,0,0,trnF,bc1108--bc1178,Erigeron canadensis,86,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Horseweed,Erigeron,33,0,0,trnF,bc1108--bc1178,Erigeron canadensis,6,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,34,0,0,ITS,bc1153--bc1155,Cannabis sativa,8,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Solanaceae,Tomato,Solanum,34,0,0,ITS,bc1153--bc1155,Solanum lycopersicum,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Fabaceae,Cowpea,Vigna,34,0,0,ITS,bc1153--bc1155,Vigna unguiculata,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,34,0,0,ITS,bc1153--bc1155,Brassica carinata,209,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,34,0,0,ITS,bc1153--bc1155,Chorispora tenella,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Potato,Solanaceae,Potato,Solanum,34,0,0,trnF,bc1108--bc1177,Solanum tuberosum,10,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,34,0,0,ITS,bc1153--bc1155,Kali turgidum,14,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Artemisia Makino,Artemisia,34,0,0,ITS,bc1153--bc1155,Artemisia fukudo,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,35,0,0,ITS,bc1155--bc1158,Brassica carinata,2,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Tumble Mustard,Sisymbrium altissimum,35,0,0,trnF,bc1108--bc1176,Sisymbrium altissimum,4,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Nightshade,Solanaceae,Black Henbane,Hyoscyamus,35,0,0,ITS,bc1155--bc1158,Hyoscyamus niger,9,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Nightshade,Solanaceae,Tansyleaf Nightshade,Solanum,35,0,0,ITS,bc1155--bc1158,Solanum pinnatisectum,13,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,35,0,0,ITS,bc1155--bc1158,Amaranthus hybridus,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Potato,Solanaceae,Potato,Solanum,35,0,0,trnF,bc1108--bc1176,Solanum tuberosum,23,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,35,0,0,ITS,bc1155--bc1158,Kali turgidum,10,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,35,0,0,trnF,bc1108--bc1176,Salsola komarovii,3,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Tree,Fagaceae,Northern red oak,Quercus,35,0,0,ITS,bc1155--bc1158,Quercus rubra,18,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Tree,Malvaceae,Linden,Tilia,35,0,0,ITS,bc1155--bc1158,Tilia x,24,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Horseweed,Erigeron,35,0,0,trnF,bc1108--bc1176,Erigeron canadensis,22,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Fleabane,Erigeron,35,0,0,ITS,bc1155--bc1158,Erigeron strigosus,88,"Wednesday, June 12, 2019",Early June,Mattawa ,RDJ,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,39,0,0,ITS,bc1140--bc1152,Cucumis sativus,7,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Crop,Brassicaceae,Radish,Raphanus,39,0,0,ITS,bc1140--bc1152,Raphanus sativus,3,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Nightshade,Solanaceae,Black Henbane,Hyoscyamus,39,0,0,ITS,bc1140--bc1152,Hyoscyamus niger,7,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,39,0,0,trnF,bc1109--bc1142,Amaranthus blitum,6,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,39,0,0,ITS,bc1140--bc1152,Amaranthus hybridus,97,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Slender amaranth or Green amaranth,Amaranthus,39,0,0,trnF,bc1109--bc1142,Amaranthus viridis,8,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Weed,Asteraceae,Safflower,Carthamus,39,0,0,ITS,bc1140--bc1152,Carthamus tinctorius,18,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Weed,Asteraceae,Spotted knapweed,Centaurea,39,0,0,trnF,bc1109--bc1142,Centaurea maculosa,4,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,40,0,0,ITS,bc1140--bc1153,Cannabis sativa,10,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Crop,Amaryllidaceae,Onion,Allium,40,0,0,ITS,bc1140--bc1153,Allium cepa,3,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Kochia,Amaranthaceae,Kochia scoparia,Bassia,40,0,0,ITS,bc1140--bc1153,Bassia scoparia,2,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,40,0,0,ITS,bc1140--bc1153,Chenopodium album,15,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,40,0,0,ITS,bc1140--bc1153,Brassica carinata,5,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Nightshade,Solanaceae,Tansyleaf Nightshade,Solanum,40,0,0,ITS,bc1140--bc1153,Solanum pinnatisectum,8,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Purple amaranth or Guernsey pigweed,Amaranthus,40,0,0,trnF,bc1110--bc1142,Amaranthus blitum,23,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Pigweed,Amaranthaceae,Smooth amaranth or Smooth pigweed,Amaranthus,40,0,0,ITS,bc1140--bc1153,Amaranthus hybridus,399,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,40,0,0,ITS,bc1140--bc1153,Kali turgidum,3,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,40,0,0,trnF,bc1110--bc1142,Salsola komarovii,4,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Weed,Boraginaceae,Common fiddleneck(Intermediate),Amsinckia,40,0,0,trnF,bc1110--bc1142,Amsinckia intermedia,7,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Weed,Asteraceae,Prickly Lettuce,Lactuca,40,0,0,ITS,bc1140--bc1153,Lactuca serriola,3,"Friday, June 14, 2019",Early June,Pasco,505,Pigweed,2019
Crop,Fabaceae,Alfalfa,Medicago,43,0,0,ITS,bc1155--bc1157 ,Medicago sativa,23,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Kochia scoparia,Bassia,43,0,0,ITS,bc1155--bc1157,Bassia scoparia,14,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,43,0,0,ITS,bc1155--bc1157,Brassica carinata,27,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Nightshade,Solanaceae,Bittersweet Nightshade,Solanum,43,0,0,ITS,bc1155--bc1157,Solanum dulcamara,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Nightshade,Solanaceae,American Black Nightshade,Solanum,43,0,0,ITS,bc1155--bc1157,Solanum nigrum/americanum,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Tree,Sapindaceae,Sugar maple,Acer,43,0,0,ITS,bc1155--bc1157,Acer saccharinum,71,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Tree,Rosaceae,Peach,Prunus,43,0,0,ITS,bc1155--bc1157,Prunus persica,64,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Weed,Geraniaceae,Redstem Filaree,Erodium,43,0,0,ITS,bc1155--bc1157,Erodium cicutarium,10,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Crop,Asteraceae,Lettuce,Lactuca,44,0,0,trnF,bc1108--bc1109,Lactuca sativa,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Mexican Fireweed/Kochia type,Bassia,44,0,0,trnF,bc1108--bc1109,Bassia littorea,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Kochia,Amaranthaceae,Kochia scoparia,Bassia,44,0,0,ITS,bc1155--bc1156,Bassia scoparia,5,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,44,0,0,ITS,bc1155--bc1156,Chenopodium album,4,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,44,0,0,ITS,bc1155--bc1156,Kali turgidum,5,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Tree,Rosaceae,Peach,Prunus,44,0,0,ITS,bc1155--bc1156,Prunus persica,4,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Weed,Geraniaceae,Heronsbill or Storksbill,Erodium,44,0,0,trnF,bc1108--bc1109,Erodium carvifolium,7,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Weed,Geraniaceae,Redstem Filaree,Erodium,44,0,0,ITS,bc1155--bc1156,Erodium cicutarium,58,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Crop,Apiaceae,Coriander or Cilantro,Coriandrum,45,0,0,trnF,bc1108--bc1115,Coriandrum sativum,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,45,0,0,ITS,bc1155--bc1159,Cucumis sativus,6,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Crop,Vitaceae,Grape vine,Vitis,45,0,0,trnF,bc1108--bc1115,Vitis vinifera,10,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,45,0,0,ITS,bc1155--bc1159,Brassica carinata,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,45,0,0,trnF,bc1108--bc1115,Salsola komarovii,7,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Tree,Oleaceae,Chinese Privet,Ligustrum,45,0,0,trnF,bc1108--bc1115,Ligustrum lucidum,7,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Weed,Geraniaceae,Redstem Filaree,Erodium,45,0,0,ITS,bc1155--bc1159,Erodium cicutarium,26,"Friday, June 14, 2019",Early June,Pasco,WSU,Kochia,2019
Crop,Asteraceae,Lettuce,Lactuca,50,0,0,trnF,bc1108--bc1114,Lactuca sativa,13,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,50,0,0,ITS,bc1135--bc1155,Brassica carinata,73,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Mustard,Brassicaceae,Tumble Mustard,Sisymbrium altissimum,50,0,0,trnF,bc1108--bc1114,Sisymbrium altissimum,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,50,0,0,ITS,bc1135--bc1155,Kali turgidum,303,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,50,0,0,trnF,bc1108--bc1114,Salsola komarovii,68,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Weed,Geraniaceae,Heronsbill or Storksbill,Erodium,50,0,0,trnF,bc1108--bc1114,Erodium carvifolium,2,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Crop,Apiaceae,Coriander or Cilantro,Coriandrum,51,0,0,trnF,bc1108--bc1113,Coriandrum sativum,3,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Russian Thistle,Amaranthaceae,Prickly Russian Thistle (Salwort or Glasswort),Kali,51,0,0,ITS,bc1148--bc1155,Kali turgidum,317,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
Russian Thistle,Amaranthaceae,Saltwort or Russian thistle,Salsola,51,0,0,trnF,bc1108--bc1113,Salsola komarovii,259,"Friday, June 14, 2019",Early June,Pasco,WSU,Russian thistle,2019
