Plant Type,Family,Common Name,Genus,Organism,OTU ,Sequences,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA ,BCTV,Notes
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,32,340,bc1124--bc1162,ITS,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,4,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,7,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,58,533,206,bc1114--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,153,362,206,bc1135--bc1161,ITS,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,2,179,bc1110--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Kochia,F,0,1,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,2,118,bc1097--bc1142,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,0,1,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,34,97,bc1107--bc1110,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,6,96,bc1107--bc1109,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,9,12,10,bc1105--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,10,97,10,bc1140--bc1180,ITS,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,8,4,bc1103--bc1114,trnF,Late March,2021-03-23,Moxee,Moxee farm,Flixweed,F,0,1,
Mustard,Brassicaceae,Tall mustard,Sisymbrium,Sisymbrium loeselii,2,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,2,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,4,4,10,bc1105--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,15,2,340,bc1105--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,9,28,326,bc1142--bc1176,trnF,Late May,2021-05-18,Othello,Othello farm,Kochia,F,0,1,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,13,28,96,bc1107--bc1109,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,1,
Tree,Fabaceae,Japanese pagoda tree,Styphnolobium,Styphnolobium japonicum,7,7,97,bc1107--bc1110,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,1,1,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,4,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,5,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,54,14,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Weed,Basellaceae,Vine Spinach,Basella,Basella alba,25,8,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,15,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,2,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,2,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,17,8,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,18,2,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,3,292,bc1105--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,8,319,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,5,76,bc1097--bc1107,trnF,Early April,2021-04-06,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,9,58,bc1113--bc1169,trnF,Late March,2021-03-30,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,306,1211,15,bc1106--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,27,356,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,18,137,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,25,9,bc1105--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,28,403,7,bc1103--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,4,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,2,2,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,16,4,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,11,6,366,bc1134--bc1160,ITS,Late May,2021-05-26,Moxee,Moxee farm,Tumble mustard,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,17,3,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,2,2,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,5,10,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,23,36,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,18,26,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,6,130,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,4,3,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2,2,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Grass,Poaceae,Meadow Fescue,Festuca,Festuca pratensis,11,23,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Wild barley,Hordeum,Hordeum brevisubulatum,2,3,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,20,7,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,4,5,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,4,4,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Tree,Juglandaceae,English walnut,Juglans,Juglans regia,35,4,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,369,88,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,27,4,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,283,420,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,71,118,292,bc1105--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,6,3,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,4,2,16,bc1106--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,5,4,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,29,24,7,bc1103--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,5,3,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Tree,Rosaceae,Apple,Malus,Malus x,3,2,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Tree,Pinaceae,Japanese Red Pine,Pinus,Pinus densiflora,4,10,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Tree,Pinaceae,Japanese Red Pine,Pinus,Pinus densiflora,7,2,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,9,20,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,25,66,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,8,6,170,bc1112--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Flixweed,F,0,0,Parasitized
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,3,14,136,bc1097--bc1143,trnF,Late April,2021-04-27,Moxee,Moxee farm,Blue mustard,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,14,12,70,bc1110--bc1169,trnF,Early April,2021-04-06,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,13,11,32,bc1120--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,1,4,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,30,468,bc1124--bc1163,ITS,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,24,94,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,28,101,380,bc1134--bc1161,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,91,289,379,bc1134--bc1172,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,55,123,366,bc1134--bc1160,ITS,Late May,2021-05-26,Moxee,Moxee farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,595,798,330,bc1124--bc1160,ITS,Late May,2021-05-18,Pasco,Pasco farm,Kochia,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,9,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,7,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,4,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,,193,bc1100--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,5,54,178,bc1109--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,133,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,20,18,88,bc1140--bc1152,ITS,Early April,2021-04-13,Pasco,Pasco farm,Tumble mustard,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,4,76,bc1097--bc1107,trnF,Early April,2021-04-06,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,5,63,58,bc1113--bc1169,trnF,Late March,2021-03-30,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,18,68,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,2,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,14,114,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,9,56,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,4,9,bc1105--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
