Sample ,Date,Time period,Region,Plant,BLTVA,BCTV,Year
A8,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
A9,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B11,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B12,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B13,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B14,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B19,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B20,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
B9,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C1,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C11,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C12,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C14,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C15,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C16,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C19,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
C5,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D1,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D10,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D12,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D15,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D18,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D2,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D3,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D5,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D6,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D7,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D8,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
D9,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E1,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E11,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E12,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E13,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E14,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E15,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E16,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E17,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E18,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E19,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E2,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E20,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
E4,7/30/2021,Late July,CNWR,Russian thistle,,1,2021
F1,7/30/2021,Late July,HR,Russian thistle,,1,2021
F11,7/30/2021,Late July,HR,Russian thistle,,1,2021
F14,7/30/2021,Late July,HR,Russian thistle,,1,2021
F15,7/30/2021,Late July,HR,Russian thistle,,1,2021
F17,7/30/2021,Late July,HR,Russian thistle,,1,2021
F18,7/30/2021,Late July,HR,Russian thistle,,1,2021
F2,7/30/2021,Late July,HR,Russian thistle,,1,2021
F3,7/30/2021,Late July,HR,Russian thistle,,1,2021
G14,7/30/2021,Late July,HR,Russian thistle,,1,2021
G5,7/30/2021,Late July,HR,Russian thistle,,1,2021
H10,7/30/2021,Late July,HR,Russian thistle,,1,2021
H11,7/30/2021,Late July,HR,Russian thistle,,1,2021
H14,7/30/2021,Late July,HR,Russian thistle,,1,2021
H15,7/30/2021,Late July,HR,Russian thistle,,1,2021
H16,7/30/2021,Late July,HR,Russian thistle,,1,2021
H17,7/30/2021,Late July,HR,Russian thistle,,1,2021
H18,7/30/2021,Late July,HR,Russian thistle,,1,2021
H19,7/30/2021,Late July,HR,Russian thistle,,1,2021
H2,7/30/2021,Late July,HR,Russian thistle,,1,2021
H3,7/30/2021,Late July,HR,Russian thistle,,1,2021
H5,7/30/2021,Late July,HR,Russian thistle,,1,2021
H6,7/30/2021,Late July,HR,Russian thistle,,1,2021
H7,7/30/2021,Late July,HR,Russian thistle,,1,2021
H8,7/30/2021,Late July,HR,Russian thistle,,1,2021
H9,7/30/2021,Late July,HR,Russian thistle,,1,2021
L1,7/30/2021,Late July,HR,Russian thistle,,1,2021
L11,7/30/2021,Late July,HR,Russian thistle,,1,2021
L12,7/30/2021,Late July,HR,Russian thistle,,1,2021
L13,7/30/2021,Late July,HR,Russian thistle,,1,2021
L14,7/30/2021,Late July,HR,Russian thistle,,1,2021
L15,7/30/2021,Late July,HR,Russian thistle,,1,2021
L16,7/30/2021,Late July,HR,Russian thistle,,1,2021
L17,7/30/2021,Late July,HR,Russian thistle,,1,2021
L18,7/30/2021,Late July,HR,Russian thistle,,1,2021
L19,7/30/2021,Late July,HR,Russian thistle,,1,2021
L2,7/30/2021,Late July,HR,Russian thistle,,1,2021
L20,7/30/2021,Late July,HR,Russian thistle,,1,2021
L3,7/30/2021,Late July,HR,Russian thistle,,1,2021
L4,7/30/2021,Late July,HR,Russian thistle,,1,2021
L5,7/30/2021,Late July,HR,Russian thistle,,1,2021
51,26-May,Late May,Othello,Loesels tumble mustard,0,1,2021
46,26-May,Late May,Moxee,Loesels tumble mustard,1,1,2021
34,4-May,Early May,Othello,Kochia,0,1,2021
31,4-May,Early May,Moxee,Kochia,1,1,2021
35,4-May,Early May,Pasco,Kochia,1,1,2021
38,11-May,Early May,Moxee,Kochia,1,1,2021
41,11-May,Early May,Othello,Kochia,1,1,2021
42,11-May,Early May,Pasco,Kochia,1,1,2021
52,26-May,Late May,Pasco,Kochia,0,0,2021
45,26-May,Late May,Moxee,Kochia,1,1,2021
50,26-May,Late May,Othello,Kochia,1,1,2021
H12,7/30/2021,Late July,HR,Kochia,,0,2021
H13,7/30/2021,Late July,HR,Kochia,,0,2021
A1,7/30/2021,Late July,CNWR,Kochia,,1,2021
A10,7/30/2021,Late July,CNWR,Kochia,,1,2021
A11,7/30/2021,Late July,CNWR,Kochia,,1,2021
A12,7/30/2021,Late July,CNWR,Kochia,,1,2021
A13,7/30/2021,Late July,CNWR,Kochia,,1,2021
A14,7/30/2021,Late July,CNWR,Kochia,,1,2021
A15,7/30/2021,Late July,CNWR,Kochia,,1,2021
A2,7/30/2021,Late July,CNWR,Kochia,,1,2021
A3,7/30/2021,Late July,CNWR,Kochia,,1,2021
A4,7/30/2021,Late July,CNWR,Kochia,,1,2021
B1,7/30/2021,Late July,CNWR,Kochia,,1,2021
B10,7/30/2021,Late July,CNWR,Kochia,,1,2021
B15,7/30/2021,Late July,CNWR,Kochia,,1,2021
B16,7/30/2021,Late July,CNWR,Kochia,,1,2021
B17,7/30/2021,Late July,CNWR,Kochia,,1,2021
B18,7/30/2021,Late July,CNWR,Kochia,,1,2021
B2,7/30/2021,Late July,CNWR,Kochia,,1,2021
B3,7/30/2021,Late July,CNWR,Kochia,,1,2021
B5,7/30/2021,Late July,CNWR,Kochia,,1,2021
B6,7/30/2021,Late July,CNWR,Kochia,,1,2021
B7,7/30/2021,Late July,CNWR,Kochia,,1,2021
B8,7/30/2021,Late July,CNWR,Kochia,,1,2021
C2,7/30/2021,Late July,CNWR,Kochia,,1,2021
C3,7/30/2021,Late July,CNWR,Kochia,,1,2021
C4,7/30/2021,Late July,CNWR,Kochia,,1,2021
C6,7/30/2021,Late July,CNWR,Kochia,,1,2021
E10,7/30/2021,Late July,CNWR,Kochia,,1,2021
E5,7/30/2021,Late July,CNWR,Kochia,,1,2021
E6,7/30/2021,Late July,CNWR,Kochia,,1,2021
E7,7/30/2021,Late July,CNWR,Kochia,,1,2021
E8,7/30/2021,Late July,CNWR,Kochia,,1,2021
E9,7/30/2021,Late July,CNWR,Kochia,,1,2021
F10,7/30/2021,Late July,HR,Kochia,,1,2021
F9,7/30/2021,Late July,HR,Kochia,,1,2021
G11,7/30/2021,Late July,HR,Kochia,,1,2021
G12,7/30/2021,Late July,HR,Kochia,,1,2021
G15,7/30/2021,Late July,HR,Kochia,,1,2021
G16,7/30/2021,Late July,HR,Kochia,,1,2021
G17,7/30/2021,Late July,HR,Kochia,,1,2021
G18,7/30/2021,Late July,HR,Kochia,,1,2021
G19,7/30/2021,Late July,HR,Kochia,,1,2021
G20,7/30/2021,Late July,HR,Kochia,,1,2021
H1,7/30/2021,Late July,HR,Kochia,,1,2021
H20,7/30/2021,Late July,HR,Kochia,,1,2021
L10,7/30/2021,Late July,HR,Kochia,,1,2021
L6,7/30/2021,Late July,HR,Kochia,,1,2021
L7,7/30/2021,Late July,HR,Kochia,,1,2021
L8,7/30/2021,Late July,HR,Kochia,,1,2021
L9,7/30/2021,Late July,HR,Kochia,,1,2021
A6,7/30/2021,Late July,CNWR,Halogeton,,0,2021
A7,7/30/2021,Late July,CNWR,Halogeton,,0,2021
A16,7/30/2021,Late July,CNWR,Halogeton,,1,2021
A17,7/30/2021,Late July,CNWR,Halogeton,,1,2021
A18,7/30/2021,Late July,CNWR,Halogeton,,1,2021
A19,7/30/2021,Late July,CNWR,Halogeton,,1,2021
A5,7/30/2021,Late July,CNWR,Halogeton,,1,2021
3,15-Mar,Early March,Othello,Flixweed,0,1,2021
1,15-Mar,Early March,Moxee,Flixweed,1,1,2021
6,23-Mar,Late March,Moxee,Flixweed,1,1,2021
7,23-Mar,Late March,Othello,Flixweed,1,1,2021
10,30-Mar,Late March,Moxee,Flixweed,0,1,2021
11,30-Mar,Late March,Othello,Flixweed,1,1,2021
55,30-Mar,Late March,Wapato,Flixweed,1,1,2021
14,6-Apr,Early April,Moxee,Flixweed,1,1,2021
15,6-Apr,Early April,Othello,Flixweed,1,1,2021
56,6-Apr,Early April,Wapato,Flixweed,1,1,2021
18,13-Apr,Early April,Moxee,Flixweed,0,0,2021
60,13-Apr,Early April,Wapato,Flixweed,0,1,2021
66,13-Apr,Early April,Wapato,Flixweed,0,1,2021
19,13-Apr,Early April,Othello,Flixweed,1,1,2021
62,13-Apr,Early April,Wapato,Flixweed,1,1,2021
23,20-Apr,Late April,Othello,Flixweed,0,1,2021
22,20-Apr,Late April,Moxee,Flixweed,1,1,2021
26,27-Apr,Late April,Moxee,Flixweed,0,1,2021
27,27-Apr,Late April,Othello,Flixweed,1,1,2021
33,4-May,Early May,Othello,Flixweed,0,1,2021
30,4-May,Early May,Moxee,Flixweed,1,1,2021
37,11-May,Early May,Moxee,Flixweed,1,1,2021
40,11-May,Early May,Othello,Flixweed,1,1,2021
49,26-May,Late May,Othello,Flixweed,0,1,2021
44,26-May,Late May,Moxee,Flixweed,1,1,2021
65,19-Mar,Late March,Wapato,Blue mustard,0,1,2021
67,19-Mar,Late March,Wapato,Blue mustard,0,1,2021
54,19-Mar,Late March,Wapato,Blue mustard,1,1,2021
5,23-Mar,Late March,Moxee,Blue mustard,0,1,2021
68,23-Mar,Late March,Wapato,Blue mustard,0,1,2021
69,23-Mar,Late March,Wapato,Blue mustard,1,1,2021
70,23-Mar,Late March,Wapato,Blue mustard,1,1,2021
9,30-Mar,Late March,Moxee,Blue mustard,0,1,2021
71,30-Mar,Late March,Wapato,Blue mustard,0,1,2021
72,30-Mar,Late March,Wapato,Blue mustard,1,1,2021
73,30-Mar,Late March,Wapato,Blue mustard,1,1,2021
13,6-Apr,Early April,Moxee,Blue mustard,1,1,2021
57,6-Apr,Early April,Wapato,Blue mustard,1,1,2021
58,6-Apr,Early April,Wapato,Blue mustard,1,1,2021
59,6-Apr,Early April,Wapato,Blue mustard,1,1,2021
17,13-Apr,Early April,Moxee,Blue mustard,0,1,2021
63,13-Apr,Early April,Wapato,Blue mustard,0,1,2021
64,13-Apr,Early April,Wapato,Blue mustard,1,0,2021
61,13-Apr,Early April,Wapato,Blue mustard,1,1,2021
21,20-Apr,Late April,Moxee,Blue mustard,1,1,2021
25,27-Apr,Late April,Moxee,Blue mustard,0,1,2021
29,4-May,Early May,Moxee,Blue mustard,1,1,2021
