ALL ,Sample ,Date,Year,Time period,Region,Plant,Specific,BLTVA,BCTV
38,38,12-Jul,2019,Early July,Pasco,Potato,Potato,0,0
39,39,12-Jul,2019,Early July,Pasco,Kochia,Kochia,1,0
40,40,12-Jul,2019,Early July,Pasco,Russian thistle,Russian thistle,0,0
41,41,12-Jul,2019,Early July,Pasco,Pigweed,Pigweed,0,0
42,42,12-Jul,2019,Early July,Pasco,Mustard,Tumble mustard,1,0
43,43,12-Jul,2019,Early July,Pasco,Russian thistle,Russian thistle,0,0
44,44,12-Jul,2019,Early July,Pasco,Prickly lettuce,Prickly lettuce,0,0
45,45,12-Jul,2019,Early July,Pasco,Pigweed,Pigweed,0,0
46,46,12-Jul,2019,Early July,Pasco,Russian thistle,Russian thistle,0,0
47,47,12-Jul,2019,Early July,Pasco,Kochia,Kochia,1,0
48,48,18-Jul,2019,Late July,Paterson,Pigweed,Pigweed,0,0
49,49,18-Jul,2019,Late July,Paterson,Prickly lettuce,Prickly lettuce,0,0
50,50,18-Jul,2019,Late July,Paterson,Russian thistle,Russian thistle,0,0
51,51,18-Jul,2019,Late July,Paterson,Kochia,Kochia,0,0
52,52,18-Jul,2019,Late July,Paterson,Potato,Potato,1,0
53,53,18-Jul,2019,Late July,Paterson,Potato,Potato,0,0
54,54,18-Jul,2019,Late July,Paterson,Russian thistle,Russian thistle,0,0
55,55,18-Jul,2019,Late July,Paterson,Kochia,Kochia,1,1
56,56,18-Jul,2019,Late July,Paterson,Potato,Potato,1,0
57,57,18-Jul,2019,Late July,Paterson,Russian thistle,Russian thistle,0,0
58,58,18-Jul,2019,Late July,Paterson,Prickly lettuce,Prickly lettuce,0,0
59,59,18-Jul,2019,Late July,Paterson,Pigweed,Pigweed,0,0
60,60,19-Jul,2019,Late July,Pasco,Pigweed,Pigweed,0,0
61,61,19-Jul,2019,Late July,Pasco,Russian thistle,Russian thistle,0,0
62,62,19-Jul,2019,Late July,Pasco,Potato,Potato,1,0
63,63,20-Jul,2019,Late July,Mattawa,Kochia,Kochia,0,0
64,64,20-Jul,2019,Late July,Mattawa,Pigweed,Pigweed,0,0
65,65,20-Jul,2019,Late July,Mattawa,Russian thistle,Russian thistle,0,0
66,66,20-Jul,2019,Late July,Mattawa,Potato,Potato,1,0
67,67,20-Jul,2019,Late July,Mattawa,Unknown plant,Unknown plant,1,0
68,68,20-Jul,2019,Late July,Mattawa,Grasses,Grasses,0,0
69,69,20-Jul,2019,Late July,Mattawa,Potato,Potato,1,0
70,70,20-Jul,2019,Late July,Mattawa,Kochia,Kochia,0,0
71,71,20-Jul,2019,Late July,Mattawa,Pigweed,Pigweed,0,0
72,72,20-Jul,2019,Late July,Mattawa,Russian thistle,Russian thistle,0,0
73,73,22-Jul,2019,Late July,Moxee,Kochia,Kochia,1,1
74,74,22-Jul,2019,Late July,Moxee,Russian thistle,Russian thistle,0,0
75,75,1-Aug,2019,Early August,Paterson,Pigweed,Pigweed,0,0
76,76,1-Aug,2019,Early August,Paterson,Russian thistle,Russian thistle,0,0
77,77,1-Aug,2019,Early August,Paterson,Kochia,Kochia,1,0
78,78,1-Aug,2019,Early August,Paterson,Potato,Potato,1,0
79,79,1-Aug,2019,Early August,Paterson,Kochia,Kochia,1,0
80,80,1-Aug,2019,Early August,Paterson,Potato,Potato,0,0
81,81,1-Aug,2019,Early August,Paterson,Lambsquarters,Lambsquarters,1,0
82,82,1-Aug,2019,Early August,Paterson,Russian thistle,Russian thistle,0,0
83,83,1-Aug,2019,Early August,Paterson,Pigweed,Pigweed,0,0
84,84,1-Aug,2019,Early August,Paterson,Russian thistle,Russian thistle,0,0
85,85,1-Aug,2019,Early August,Paterson,Nightshade,Hairy nightshade,1,0
86,86,1-Aug,2019,Early August,Paterson,Potato,Potato,0,0
87,87,1-Aug,2019,Early August,Paterson,Pigweed,Pigweed,0,0
88,88,2-Aug,2019,Early August,Pasco,Potato,Potato,1,0
89,89,2-Aug,2019,Early August,Pasco,Pigweed,Pigweed,0,0
90,90,2-Aug,2019,Early August,Pasco,Russian thistle,Russian thistle,0,0
91,91,2-Aug,2019,Early August,Pasco,Potato,Potato,1,0
92,92,2-Aug,2019,Early August,Pasco,Russian thistle,Russian thistle,0,0
93,93,2-Aug,2019,Early August,Pasco,Kochia,Kochia,1,0
94,94,2-Aug,2019,Early August,Pasco,Pigweed,Pigweed,0,0
95,95,14-Oct,2019,Late October,Paterson,Nightshade,Hairy nightshade,0,0
96,96,16-Oct,2019,Late October,Pasco,Prickly lettuce,Prickly lettuce,0,0
97,97,16-Oct,2019,Late October,Pasco,Bindweed,Bindweed,0,0
98,98,16-Oct,2019,Late October,Pasco,Mallow,Mallow,0,0
99,99,16-Oct,2019,Late October,Pasco,Kochia,Kochia,1,0
100,100,16-Oct,2019,Late October,Pasco,Pigweed,Pigweed,1,0
101,101,16-Oct,2019,Late October,Pasco,Grasses,Grasses,0,0
102,102,16-Oct,2019,Late October,Pasco,Prickly lettuce,Prickly lettuce,0,0
103,103,16-Oct,2019,Late October,Pasco,Russian thistle,Russian thistle,0,0
104,104,16-Oct,2019,Late October,Paterson,Grasses,Grasses,0,0
105,105,16-Oct,2019,Late October,Paterson,Prickly lettuce,Prickly lettuce,0,0
106,106,16-Oct,2019,Late October,Paterson,Russian thistle,Russian thistle,1,0
107,107,16-Oct,2019,Late October,Paterson,Russian thistle,Russian thistle,0,0
108,108,18-Oct,2019,Late October,Mattawa,Prickly lettuce,Prickly lettuce,0,0
109,109,18-Oct,2019,Late October,Mattawa,Grasses,Grasses,0,0
110,110,18-Oct,2019,Late October,Mattawa,Horseweed,Horseweed,0,0
111,111,18-Oct,2019,Late October,Mattawa,Russian thistle,Russian thistle,1,0
112,112,18-Oct,2019,Late October,Mattawa,Grasses,Grasses,1,0
113,113,18-Oct,2019,Late October,Mattawa,Russian thistle,Russian thistle,0,0
114,114,18-Oct,2019,Late October,Mattawa,Alfalfa,Alfalfa,1,0
115,1,22-Apr,2020,Late April,Pasco,Mustard,Tumble mustard,1,0
116,2,22-Apr,2020,Late April,Pasco,Grasses,Grasses,0,0
117,3,22-Apr,2020,Late April,Pasco,Scotch thistle ,Scotch thistle ,0,0
118,4,22-Apr,2020,Late April,Pasco,Filaree,Filaree,0,0
119,5,24-Apr,2020,Late April,Moxee,Flixweed,Flixweed,1,0
120,6,24-Apr,2020,Late April,Moxee,Mustard,Blue mustard,0,0
121,7,18-May,2020,Late May ,Moxee,Flixweed,Flixweed,1,0
122,8,18-May,2020,Late May ,Moxee,Mustard,Tumble mustard,1,0
123,9,18-May,2020,Late May ,Moxee,Kochia,Kochia,1,0
124,10,18-May,2020,Late May ,Mattawa,Flixweed,Flixweed,1,0
125,11,18-May,2020,Late May ,Mattawa,Potato,Potato,1,0
126,12,18-May,2020,Late May ,Mattawa,Russian thistle,Russian thistle,0,0
127,13,18-May,2020,Late May ,Mattawa,Russian thistle,Russian thistle,0,0
128,14,18-May,2020,Late May ,Mattawa,Potato,Potato,0,0
129,15,18-May,2020,Late May ,Mattawa,Lambsquarters,Lambsquarters,1,0
130,16,18-May,2020,Late May ,Mattawa,Flixweed,Flixweed,1,0
131,17,18-May,2020,Late May ,Mattawa,Mustard,Black mustard,1,1
132,18,18-May,2020,Late May ,Mattawa,Kochia,Kochia,1,1
133,19,18-May,2020,Late May ,Mattawa,Mustard,Black mustard,1,0
134,20,18-May,2020,Late May ,Mattawa,Russian thistle,Russian thistle,0,0
135,21,18-May,2020,Late May ,Mattawa,Potato,Potato,0,0
136,22,18-May,2020,Late May ,Mattawa,Kochia,Kochia,1,0
137,23,18-May,2020,Late May ,Othello,Kochia,Kochia,0,0
138,24,18-May,2020,Late May ,Othello,Mustard,Tumble mustard,1,0
139,25,18-May,2020,Late May ,Othello,Potato,Potato,1,0
140,26,18-May,2020,Late May ,Othello,Mustard,Tumble mustard,1,0
141,27,18-May,2020,Late May ,Othello,Flixweed,Flixweed,0,0
142,28,18-May,2020,Late May ,Othello,Potato,Potato,1,0
143,29,18-May,2020,Late May ,Othello,Filaree,Filaree,0,0
144,30,18-May,2020,Late May ,Othello,Mustard,Blue mustard,0,0
145,31,27-May,2020,Late May ,Paterson,Russian thistle,Russian thistle,0,0
146,32,27-May,2020,Late May ,Paterson,Potato,Potato,1,0
147,33,27-May,2020,Late May ,Paterson,Mustard,Tumble mustard,1,0
148,34,27-May,2020,Late May ,Paterson,Western yarrow,Western yarrow,0,0
149,35,27-May,2020,Late May ,Paterson,Mustard,Tumble mustard,1,0
150,36,27-May,2020,Late May ,Paterson,Russian thistle,Russian thistle,0,0
151,37,27-May,2020,Late May ,Paterson,Potato,Potato,1,0
152,38,27-May,2020,Late May ,Paterson,Potato,Potato,1,0
153,39,27-May,2020,Late May ,Paterson,Brush,Silver sagebrush,0,0
154,40,27-May,2020,Late May ,Pasco,Horseweed,Horseweed,0,0
155,41,27-May,2020,Late May ,Pasco,Potato,Potato,1,0
156,42,27-May,2020,Late May ,Pasco,Russian thistle,Russian thistle,0,0
157,43,27-May,2020,Late May ,Pasco,Lambsquarters,Lambsquarters,1,0
158,44,27-May,2020,Late May ,Pasco,Potato,Potato,1,0
159,45,27-May,2020,Late May ,Pasco,Mesquite,Mesquite,1,0
160,46,27-May,2020,Late May ,Pasco,Kochia,Kochia,1,0
161,47,27-May,2020,Late May ,Pasco,Russian thistle,Russian thistle,1,0
162,48,27-May,2020,Late May ,Pasco,Russian thistle,Russian thistle,1,1
163,49,27-May,2020,Late May ,Pasco,Mustard,Tumble mustard,1,0
164,50,27-May,2020,Late May ,Pasco,Kochia,Kochia,0,0
165,51,27-May,2020,Late May ,Pasco,Potato,Potato,1,1
166,52,3-Jun,2020,Early June,Moxee,Mustard,Tumble mustard,1,1
167,53,3-Jun,2020,Early June,Moxee,Russian thistle,Russian thistle,0,0
168,54,3-Jun,2020,Early June,Moxee,Mustard,Black mustard,1,1
169,55,3-Jun,2020,Early June,Moxee,Flixweed,Flixweed,1,0
170,56,3-Jun,2020,Early June,Moxee,Kochia,Kochia,1,0
171,57,3-Jun,2020,Early June,Mattawa,Russian thistle,Russian thistle,0,0
172,58,3-Jun,2020,Early June,Mattawa,Alfalfa,Alfalfa,1,0
173,59,3-Jun,2020,Early June,Mattawa,Potato,Potato,1,0
174,60,3-Jun,2020,Early June,Mattawa,Flixweed,Flixweed,1,0
175,61,3-Jun,2020,Early June,Mattawa,Mustard,Black mustard,1,0
176,62,3-Jun,2020,Early June,Mattawa,Potato,Potato,1,0
177,63,3-Jun,2020,Early June,Mattawa,Lambsquarters,Lambsquarters,1,1
178,64,3-Jun,2020,Early June,Mattawa,Kochia,Kochia,1,0
179,65,3-Jun,2020,Early June,Mattawa,Russian thistle,Russian thistle,0,0
180,66,3-Jun,2020,Early June,Mattawa,Potato,Potato,1,0
181,67,3-Jun,2020,Early June,Mattawa,Russian thistle,Russian thistle,0,0
182,68,3-Jun,2020,Early June,Mattawa,Kochia,Kochia,1,1
183,69,3-Jun,2020,Early June,Othello,Kochia,Kochia,1,0
184,70,3-Jun,2020,Early June,Othello,Russian thistle,Russian thistle,0,0
185,71,3-Jun,2020,Early June,Othello,Potato,Potato,0,0
186,72,3-Jun,2020,Early June,Othello,Potato,Potato,1,0
187,73,3-Jun,2020,Early June,Othello,Kochia,Kochia,1,0
188,74,17-Jun,2020,Late June,Moxee,Russian thistle,Russian thistle,1,0
189,75,17-Jun,2020,Late June,Moxee,Mustard,Black mustard,1,1
190,76,17-Jun,2020,Late June,Moxee,Kochia,Kochia,1,1
191,77,17-Jun,2020,Late June,Mattawa,Russian thistle,Russian thistle,1,0
192,78,17-Jun,2020,Late June,Mattawa,Alfalfa,Alfalfa,1,0
193,79,17-Jun,2020,Late June,Mattawa,Potato,Potato,1,0
194,80,17-Jun,2020,Late June,Mattawa,Kochia,Kochia,1,0
195,81,17-Jun,2020,Late June,Mattawa,Lambsquarters,Lambsquarters,1,1
196,82,17-Jun,2020,Late June,Mattawa,Russian thistle,Russian thistle,1,0
197,83,17-Jun,2020,Late June,Mattawa,Potato,Potato,1,0
198,84,17-Jun,2020,Late June,Mattawa,Mustard,Black mustard,1,0
199,85,17-Jun,2020,Late June,Othello,Lambsquarters,Lambsquarters,1,0
200,86,17-Jun,2020,Late June,Othello,Kochia,Kochia,1,1
201,87,17-Jun,2020,Late June,Othello,Russian thistle,Russian thistle,1,0
202,88,17-Jun,2020,Late June,Othello,Potato,Potato,1,0
203,89,17-Jun,2020,Late June,Othello,Potato,Potato,1,1
204,90,17-Jun,2020,Late June,Othello,Kochia,Kochia,1,0
205,91,17-Jun,2020,Late June,Othello,Russian thistle,Russian thistle,0,0
206,92,17-Jun,2020,Late June,Othello,Potato,Potato,1,0
207,93,17-Jun,2020,Late June,Othello,Kochia,Kochia,0,0
208,94,25-Jun,2020,Late June,Paterson,Potato,Potato,1,0
209,95,25-Jun,2020,Late June,Paterson,Russian thistle,Russian thistle,0,1
210,96,25-Jun,2020,Late June,Paterson,Brush,Rabbitbrush,0,0
211,97,25-Jun,2020,Late June,Paterson,Russian thistle,Russian thistle,1,0
212,98,25-Jun,2020,Late June,Paterson,Kochia,Kochia,1,0
213,99,25-Jun,2020,Late June,Paterson,Potato,Potato,1,0
214,100,25-Jun,2020,Late June,Paterson,Potato,Potato,1,0
215,101,25-Jun,2020,Late June,Paterson,Brush,Silver sagebrush,0,0
216,102,25-Jun,2020,Late June,Pasco,Mesquite,Mesquite,1,0
217,103,25-Jun,2020,Late June,Pasco,Lambsquarters,Lambsquarters,1,0
218,104,25-Jun,2020,Late June,Pasco,Russian thistle,Russian thistle,1,0
219,105,25-Jun,2020,Late June,Pasco,Kochia,Kochia,1,0
220,106,25-Jun,2020,Late June,Pasco,Pigweed,Pigweed,0,0
221,107,25-Jun,2020,Late June,Pasco,Potato,Potato,1,1
222,108,25-Jun,2020,Late June,Pasco,Potato,Potato,1,0
223,109,25-Jun,2020,Late June,Pasco,Russian thistle,Russian thistle,1,0
224,110,25-Jun,2020,Late June,Pasco,Kochia,Kochia,1,1
225,111,1-Jul,2020,Early July,Moxee,Kochia,Kochia,0,0
226,112,1-Jul,2020,Early July,Moxee,Lambsquarters,Lambsquarters,1,0
227,113,1-Jul,2020,Early July,Moxee,Russian thistle,Russian thistle,0,0
228,114,1-Jul,2020,Early July,Mattawa,Potato,Potato,1,0
229,115,1-Jul,2020,Early July,Mattawa,Alfalfa,Alfalfa,1,0
230,116,1-Jul,2020,Early July,Mattawa,Russian thistle,Russian thistle,0,0
231,117,1-Jul,2020,Early July,Mattawa,Russian thistle,Russian thistle,0,0
232,118,1-Jul,2020,Early July,Mattawa,Kochia,Kochia,1,0
233,119,1-Jul,2020,Early July,Mattawa,Lambsquarters,Lambsquarters,1,1
234,120,1-Jul,2020,Early July,Mattawa,Potato,Potato,1,0
235,121,1-Jul,2020,Early July,Mattawa,Pigweed,Pigweed,0,0
236,122,1-Jul,2020,Early July,Mattawa,Kochia,Kochia,1,1
237,123,1-Jul,2020,Early July,Mattawa,Russian thistle,Russian thistle,1,0
238,124,1-Jul,2020,Early July,Othello,Russian thistle,Russian thistle,0,1
239,125,1-Jul,2020,Early July,Othello,Lambsquarters,Lambsquarters,0,0
240,126,1-Jul,2020,Early July,Othello,Potato,Potato,1,0
241,127,8-Jul,2020,Early July,Paterson,Potato,Potato,1,0
242,128,8-Jul,2020,Early July,Paterson,Russian thistle,Russian thistle,1,0
243,129,15-Jul,2020,Late July,Moxee,Russian thistle,Russian thistle,0,0
244,130,15-Jul,2020,Late July,Moxee,Kochia,Kochia,0,1
245,131,15-Jul,2020,Late July,Moxee,Lambsquarters,Lambsquarters,1,0
246,132,15-Jul,2020,Late July,Mattawa,Lambsquarters,Lambsquarters,1,0
247,133,15-Jul,2020,Late July,Mattawa,Potato,Potato,1,0
248,134,15-Jul,2020,Late July,Mattawa,Russian thistle,Russian thistle,0,0
249,135,15-Jul,2020,Late July,Mattawa,Kochia,Kochia,1,0
250,136,15-Jul,2020,Late July,Mattawa,Kochia,Kochia,1,0
251,137,15-Jul,2020,Late July,Mattawa,Russian thistle,Russian thistle,0,0
252,138,15-Jul,2020,Late July,Mattawa,Potato,Potato,0,0
253,139,15-Jul,2020,Late July,Othello,Lambsquarters,Lambsquarters,1,0
254,140,15-Jul,2020,Late July,Othello,Kochia,Kochia,1,0
255,141,15-Jul,2020,Late July,Othello,Russian thistle,Russian thistle,0,0
256,142,15-Jul,2020,Late July,Othello,Potato,Potato,0,0
257,143,15-Jul,2020,Late July,Othello,Kochia,Kochia,0,1
258,144,15-Jul,2020,Late July,Othello,Potato,Potato,1,0
259,145,15-Jul,2020,Late July,Othello,Russian thistle,Russian thistle,0,0
260,146,16-Jul,2020,Late July,Paterson,Brush,Silver sagebrush,0,0
261,147,16-Jul,2020,Late July,Paterson,Russian thistle,Russian thistle,0,0
262,148,16-Jul,2020,Late July,Paterson,Potato,Potato,1,1
263,149,16-Jul,2020,Late July,Paterson,Brush,Rabbitbrush,0,0
264,150,16-Jul,2020,Late July,Paterson,Brush,Silver sagebrush,1,0
265,151,16-Jul,2020,Late July,Paterson,Potato,Potato,1,0
266,152,16-Jul,2020,Late July,Pasco,Horseweed,Horseweed,0,0
267,153,16-Jul,2020,Late July,Pasco,Russian thistle,Russian thistle,0,0
268,154,16-Jul,2020,Late July,Pasco,Pigweed,Pigweed,0,0
269,155,16-Jul,2020,Late July,Pasco,Potato,Potato,0,0
270,156,16-Jul,2020,Late July,Pasco,Russian thistle,Russian thistle,0,1
271,157,16-Jul,2020,Late July,Pasco,Potato,Potato,1,0
272,158,12-Aug,2020,Early August,Moxee,Pigweed,Pigweed,1,0
273,159,12-Aug,2020,Early August,Moxee,Lambsquarters,Lambsquarters,1,0
274,160,12-Aug,2020,Early August,Moxee,Prickly lettuce,Prickly lettuce,0,0
275,161,12-Aug,2020,Early August,Moxee,Russian thistle,Russian thistle,0,0
276,162,12-Aug,2020,Early August,Moxee,Kochia,Kochia,0,1
277,163,12-Aug,2020,Early August,Mattawa,Russian thistle,Russian thistle,0,0
278,164,12-Aug,2020,Early August,Mattawa,Kochia,Kochia,0,0
279,165,12-Aug,2020,Early August,Mattawa,Pigweed,Pigweed,0,0
280,166,12-Aug,2020,Early August,Mattawa,Potato,Potato,0,0
281,167,12-Aug,2020,Early August,Mattawa,Lambsquarters,Lambsquarters,1,0
282,168,12-Aug,2020,Early August,Mattawa,Nightshade,Hairy nightshade,1,0
283,169,12-Aug,2020,Early August,Mattawa,Russian thistle,Russian thistle,0,0
284,170,12-Aug,2020,Early August,Mattawa,Potato,Potato,1,0
285,171,12-Aug,2020,Early August,Othello,Russian thistle,Russian thistle,0,0
286,172,12-Aug,2020,Early August,Othello,Kochia,Kochia,0,1
287,173,12-Aug,2020,Early August,Othello,Potato,Potato,1,0
288,174,12-Aug,2020,Early August,Othello,Russian thistle,Russian thistle,0,0
289,175,12-Aug,2020,Early August,Othello,Lambsquarters,Lambsquarters,0,0
290,176,12-Aug,2020,Early August,Othello,Kochia,Kochia,0,0
291,177,12-Aug,2020,Early August,Othello,Pigweed,Pigweed,0,0
292,178,12-Aug,2020,Early August,Othello,Puncturevine,Puncturevine,1,0
293,179,12-Aug,2020,Early August,Othello,Kochia,Kochia,0,0
294,180,12-Aug,2020,Early August,Othello,Potato,Potato,1,0
295,181,13-Aug,2020,Early August,Paterson,Russian thistle,Russian thistle,0,0
296,182,13-Aug,2020,Early August,Paterson,Pigweed,Pigweed,0,0
297,183,13-Aug,2020,Early August,Paterson,Potato,Potato,1,0
298,184,13-Aug,2020,Early August,Paterson,Brush,Rabbitbrush,0,0
299,185,13-Aug,2020,Early August,Paterson,Russian thistle,Russian thistle,0,0
300,186,13-Aug,2020,Early August,Paterson,Kochia,Kochia,1,1
301,187,13-Aug,2020,Early August,Paterson,Purslane,Common purslane,1,1
302,188,13-Aug,2020,Early August,Paterson,Pigweed,Pigweed,0,0
303,189,13-Aug,2020,Early August,Paterson,Potato,Potato,1,0
304,190,13-Aug,2020,Early August,Paterson,Brush,Silver sagebrush,0,0
305,191,13-Aug,2020,Early August,Paterson,Puncturevine,Puncturevine,1,0
306,192,13-Aug,2020,Early August,Paterson,Russian thistle,Russian thistle,0,0
307,193,13-Aug,2020,Early August,Paterson,Potato,Potato,1,0
308,194,13-Aug,2020,Early August,Pasco,Russian thistle,Russian thistle,0,0
309,195,13-Aug,2020,Early August,Pasco,Horseweed,Horseweed,0,0
310,196,13-Aug,2020,Early August,Pasco,Lambsquarters,Lambsquarters,1,0
311,197,13-Aug,2020,Early August,Pasco,Pigweed,Pigweed,1,0
312,198,13-Aug,2020,Early August,Pasco,Russian thistle,Russian thistle,0,0
313,199,13-Aug,2020,Early August,Pasco,Potato,Potato,1,0
314,200,13-Aug,2020,Early August,Pasco,Kochia,Kochia,1,0
315,201,13-Aug,2020,Early August,Pasco,Lambsquarters,Lambsquarters,1,0
316,202,25-Aug,2020,Late August,Paterson,Russian thistle,Russian thistle,1,0
317,203,25-Aug,2020,Late August,Paterson,Potato,Potato,1,0
318,204,25-Aug,2020,Late August,Paterson,Pigweed,Pigweed,1,0
319,205,25-Aug,2020,Late August,Paterson,Brush,Rabbitbrush,0,0
320,206,25-Aug,2020,Late August,Paterson,Kochia,Kochia,1,0
321,207,25-Aug,2020,Late August,Paterson,Potato,Potato,1,0
322,208,25-Aug,2020,Late August,Paterson,Purslane,Common purslane,1,0
323,209,25-Aug,2020,Late August,Paterson,Pigweed,Pigweed,1,0
324,210,25-Aug,2020,Late August,Paterson,Russian thistle,Russian thistle,0,0
325,211,25-Aug,2020,Late August,Paterson,Brush,Silver sagebrush,0,0
326,212,25-Aug,2020,Late August,Paterson,Potato,Potato,1,0
327,213,25-Aug,2020,Late August,Pasco,Horseweed,Horseweed,1,0
328,214,25-Aug,2020,Late August,Pasco,Lambsquarters,Lambsquarters,1,0
329,215,25-Aug,2020,Late August,Pasco,Russian thistle,Russian thistle,0,0
330,216,25-Aug,2020,Late August,Pasco,Potato,Potato,1,0
331,217,25-Aug,2020,Late August,Pasco,Russian thistle,Russian thistle,0,0
332,218,25-Aug,2020,Late August,Pasco,Lambsquarters,Lambsquarters,1,0
333,219,27-Aug,2020,Late August,Moxee,Russian thistle,Russian thistle,1,0
334,220,27-Aug,2020,Late August,Moxee,Kochia,Kochia,1,0
335,221,27-Aug,2020,Late August,Mattawa,Russian thistle,Russian thistle,0,0
336,222,27-Aug,2020,Late August,Mattawa,Purslane,Common purslane,1,0
337,223,27-Aug,2020,Late August,Mattawa,Kochia,Kochia,1,0
338,224,27-Aug,2020,Late August,Mattawa,Puncturevine,Puncturevine,1,0
339,225,27-Aug,2020,Late August,Mattawa,Pigweed,Pigweed,0,0
340,226,27-Aug,2020,Late August,Mattawa,Nightshade,Hairy nightshade,1,0
341,227,27-Aug,2020,Late August,Mattawa,Lambsquarters,Lambsquarters,1,0
342,228,27-Aug,2020,Late August,Mattawa,Russian thistle,Russian thistle,0,0
343,229,27-Aug,2020,Late August,Mattawa,Russian thistle,Russian thistle,0,0
344,230,27-Aug,2020,Late August,Othello,Potato,Potato,1,0
345,231,27-Aug,2020,Late August,Othello,Kochia,Kochia,1,0
346,232,27-Aug,2020,Late August,Othello,Russian thistle,Russian thistle,0,0
347,233,1-Oct,2020,Early October,Paterson,Brush,Big sagebrush,0,0
348,234,1-Oct,2020,Early October,Paterson,Russian thistle,Russian thistle,0,0
349,235,1-Oct,2020,Early October,Paterson,Brush,Rabbitbrush,0,0
350,236,1-Oct,2020,Early October,Paterson,Russian thistle,Russian thistle,0,0
351,237,1-Oct,2020,Early October,Paterson,Brush,Rabbitbrush,0,0
352,238,1-Oct,2020,Early October,Paterson,Brush,Silver sagebrush,0,0
353,239,1-Oct,2020,Early October,Paterson,Brush,Silver sagebrush,0,0
354,240,1-Oct,2020,Early October,Pasco,Puncturevine,Puncturevine,1,0
355,241,1-Oct,2020,Early October,Pasco,Lambsquarters,Lambsquarters,1,0
356,242,1-Oct,2020,Early October,Pasco,Pigweed,Pigweed,0,0
357,243,1-Oct,2020,Early October,Pasco,Russian thistle,Russian thistle,1,0
358,244,2-Oct,2020,Early October,Moxee,Lambsquarters,Lambsquarters,1,0
359,245,2-Oct,2020,Early October,Moxee,Kochia,Kochia,1,0
360,246,2-Oct,2020,Early October,Moxee,Pigweed,Pigweed,0,0
361,247,2-Oct,2020,Early October,Mattawa,Purslane,Common purslane,1,0
362,248,2-Oct,2020,Early October,Mattawa,Russian thistle,Russian thistle,1,0
363,249,2-Oct,2020,Early October,Mattawa,Russian thistle,Russian thistle,1,0
364,250,2-Oct,2020,Early October,Mattawa,Kochia,Kochia,1,0
365,1,15-Mar,2021,Early March,Moxee,Flixweed,Flixweed,1,1
366,2,15-Mar,2021,Early March,Moxee,Mustard,Tumble mustard,0,1
